003626.12+182214.2 1.65157   2551 5.48004    21481.3  DR14 -27.8867 0.0147 -32.0263  0.0985 0.0897 1.58241   0.25433  0.30615 -32.6924    35.28    14.704  5.82207  3.5356  
003641.47+182000.8 2.03263   2551 9.71137    21478.1  DR14 -28.0984 0.0203 -31.7852  0.1783 0.1491 2.86911   0.61731  0.67654 -32.0263    19.665    9.568  3.83202  2.02017 
003720.76-011833.1 1.23881   2178 9.68254    27515.0  DR14 -27.6551 0.0111 -31.6351  0.0696 0.0626 1.62411   0.20512  0.22047 -32.3562    76.473   32.383  7.74365  4.12541 
003922.11+005216.8 1.56717   8171 2.03091    19167.7  DR14 -28.0687 0.0138 -31.8176  0.0832 0.0754 2.48429   0.3286   0.37296 -32.6783    40.877    8.829  6.37436  2.91543 
003922.11+005216.8 1.56717   9588 2.0292     16701.8  DR14 -28.0687 0.0138 -31.8017  0.0882 0.0789 2.77089   0.37268  0.40798 -32.6121    34.86     6.79   5.88067  2.52873 
003922.44+005951.7 1.9977    9588 5.59353    16701.8  DR7  -27.7472 0.0126 -31.746   0.1517 0.1377 2.83808   0.45687  0.54484 -32.4018    20.496    3.12   4.41987  1.41236 
004121.51-092209.7 1.5373   15173 5.07531    42516.6  DR7  -27.4509 0.0080 -31.7069  0.0867 0.0788 1.83842   0.2005   0.20555 -32.3876    60.672   31.119  7.39419  5.26904 
004121.51-092209.7 1.5373   15174 7.84012    39556.2  DR7  -27.4509 0.0080 -31.4299  0.1019 0.0967 2.38024   0.26556  0.32166 -31.9594    62.4     28.196  6.66703  4.07808 
004121.51-092209.7 1.5373   16263 7.8426     38147.4  DR7  -27.4509 0.0080 -31.8543  0.1469 0.1285 1.7623    0.29659  0.31983 -32.1811    28.821   18.62   4.10979  3.04551 
004121.51-092209.7 1.5373   16264 5.07498    36596.3  DR7  -27.4509 0.0080 -31.5188  0.0788 0.0728 2.12777   0.19872  0.20116 -32.3372    70.818   27.87   8.06094  4.91679 
004121.51-092209.7 1.5373     904 6.06381    38425.6  DR7  -27.4509 0.0080 -32.2207  0.1344 0.1127 1.27413   0.28524  0.28347 -32.4993    27.729   21.812  3.91089  3.73043 
004159.86+253350.8 1.28378   7608 8.6081      3001.51 DR14 -27.8744 0.0628 -31.4384  0.2291 0.1886 1.72406   0.57829  0.6422  -31.4523     7.832    2.706  2.74041  1.49096 
004341.48+005609.9 0.83      3308 1.60579     4603.36 DR7  -27.5927 0.0144 -30.7783  0.0348 0.0333 2.13639   0.14629  0.15082 -31.9145   136.726   32.736 11.6696   5.67595 
004341.66+242454.6 1.58455  11735 1.37101    19815.3  DR14 -27.8411 0.0138 -31.9319  0.0933 0.0857 1.47193   0.21328  0.2206  -32.536     39.04    20.538  6.1      4.43326 
004342.79+004841.7 0.913     3308 6.53888     4603.36 DR7  -27.7398 0.0133 -31.431   0.0906 0.0811 1.48749   0.27853  0.34243 -31.8116    25.61    13.51   4.98528  3.54912 
004352.96+005331.5 1.152     3308 2.29946     4603.36 DR12 -28.3912 0.023  -31.5798  0.1057 0.0894 1.75994   0.33037  0.43637 -32.0113    21.912    6.874  4.66234  2.57506 
004403.13+024013.6 1.33349   4150 9.4422      9064.55 DR14 -27.9793 0.0123 -31.4574  0.1056 0.0909 3.07102   0.49678  0.55087 -31.9454    27.02     5.8    5.01922  1.81605 
004424.47+023148.7 2.925     4150 0.581592    9064.55 DR12 -27.881  0.1142 -31.5936  0.1515 0.1347 2.48448   0.35404  0.44735 -32.6516    28.826    3.916  5.33687  1.93776 
004526.26+143643.5 1.9551    6889 1.7033     11398.2  DR7  -27.2872 0.0113 -31.4948  0.0892 0.0822 2.18848   0.26021  0.28773 -32.5993    50.949   11.88   7.13072  3.41244 
004551.81+201232.2 0.878218 12185 9.50297    19788.8  DR14 -27.648  0.0131 -31.3216  0.0573 0.0528 2.12918   0.23617  0.25043 -31.9867    70.275   23.76   7.87052  3.65582 
004508.17+143933.4 0.793     6889 4.92144    11391.7  DR12 -27.9104 0.0189 -31.0566  0.0489 0.046  1.64591   0.15194  0.16224 -32.0694    89.82    46.201  9.45841  6.68255 
004602.12+201846.6 2.01235  12185 5.72834    19782.6  DR14 -28.4372 0.0422 -31.8273  0.1712 0.1588 1.83977   0.27369  0.6123  -32.3338    22.632    8.95   4.68179  2.69241 
004614.97+010801.7 1.105    12764 3.62847    11095.9  DR12 -28.0381 0.0149 -31.6422  0.0865 0.0752 2.29832   0.367    0.37818 -32.1668    30.845    9.87   5.52613  3.10108 
004630.87+201616.9 0.99971  12185 1.74624    19785.7  DR14 -27.5524 0.0105 -31.6444  0.083  0.0754 1.78832   0.25315  0.28302 -32.2394    38.766   22.954  6.18899  4.78146 
004643.61+201046.4 2.11064  12185 7.99908    19785.7  DR14 -28.0523 0.0177 -31.9079  0.1607 0.1477 1.28123   0.27782  0.28881 -32.2453    24.544   22.6    4.68411  4.31751 
004644.20+203134.4 2.01616  11876 5.59014    19776.0  DR14 -27.9687 0.0155 -31.9666  0.1562 0.151  1.59377   0.26032  0.47059 -32.4056    21.574   10.776  4.3652   2.9633  
004644.20+203134.4 2.01616  11877 4.74972    19507.3  DR14 -27.9687 0.0155 -31.8559  0.1822 0.1742 2.40566   0.52245  0.63164 -32.3262    18.544    8.622  4.20413  2.81548 
004936.10+322438.2 2.947    16013 8.8321     84956.1  DR12 -27.2968 0.0122 -31.5578  0.0768 0.0748 1.72346   0.12054  0.1224  -32.6789   158.364   98.112 12.0181   8.7444  
004949.15+321013.3 2.516    16013 5.96508    84953.0  DR12 -28.0627 0.042  -31.9345  0.1121 0.1075 2.02532   0.21066  0.22516 -32.695     61.908   34.16   7.39456  5.0454  
004949.15+321013.3 2.516    16301 8.82123    41528.3  DR12 -28.059  0.042  -31.4515  0.1198 0.119  2.03914   0.20295  0.22129 -32.3575    68.76    39.1    7.92705  5.37587 
004949.15+321013.3 2.516    16301 5.96981    41534.5  DR12 -28.0627 0.042  -32.3342  0.178  0.1679 1.18974   0.27041  0.30957 -32.7009    24.759   26.46   4.57865  4.56886 
004957.00-005806.4 1.59646   4825 5.83276    13009.0  DR14 -28.1982 0.0173 -31.7945  0.1111 0.0967 2.75363   0.46793  0.51657 -32.4018    24.25     5.118  4.77885  1.95094 
004959.41-004043.9 0.964487  5694 3.41567     7853.66 DR14 -28.1791 0.0159 -31.9147  0.1243 0.105  2.00314   0.47345  0.55284 -32.0847    16.0      4.875  4.0      2.15341 
005006.35-005319.2 4.31      4825 0.581639   13009.0  DR7  -27.8887 0.2878 -32.1095  0.2414 0.2466 2.03284   0.43436  0.54726 -32.7214    16.966    6.0    4.11075  2.44949 
005030.62-004648.0 1.37262   4825 8.53201    13009.0  DR14 -28.3579 0.0214 -31.4501  0.1447 0.0899 2.7764    0.3292   0.6572  -31.783     24.154    3.024  4.57728  0.912767
005037.15-004828.9 1.78392   4825 8.83463    13009.0  DR14 -28.0408 0.014  -31.8766  0.1838 0.1672 1.5366    0.40522  0.51944 -32.1367    17.613   13.685  3.90083  3.03624 
005049.09-010003.9 2.246     9224 3.98574     3576.55 DR12 -27.9664 0.0189 -31.3989  0.2911 0.2833 2.06189   0.57844  0.67648 -31.5436     9.96     3.832  3.14335  1.87699 
005102.42-010244.4 1.889     4097 0.583434    3500.7  DR7  -26.9326 0.0085 -31.1633  0.093  0.0846 2.07835   0.27154  0.29394 -32.0634    40.0     10.0    6.32456  3.16228 
005102.42-010244.4 1.889     9224 0.290703    3576.55 DR7  -26.9326 0.0085 -31.3326  0.1323 0.1123 2.30703   0.3724   0.40474 -32.1099    25.922    3.0    5.07611  1.73205 
005104.87-010152.2 0.679     4097 1.4838      3500.7  DR12 -27.6294 0.0165 -30.7828  0.0405 0.0386 1.87643   0.16076  0.17027 -31.7851    90.727   33.932  9.49654  5.81348 
005104.87-010152.2 0.679     9224 1.13582     3576.55 DR12 -27.6294 0.0165 -30.7333  0.0399 0.0381 2.29161   0.17925  0.18741 -31.739    112.887   15.824 10.6142   3.93442 
